"id","country_id","city_name","zip_code","created_at","updated_at"
"1",NULL,"Freeport","11520","2021-04-19 03:41:02","2021-04-19 03:41:02"
"2",NULL,"Brooklyn","11201","2021-04-19 03:41:55","2021-04-19 03:41:55"
"3",NULL,"San Diego","92103","2021-04-19 03:42:11","2021-04-19 03:42:11"
"4",NULL,"Galt","95632","2021-04-19 03:42:41","2021-04-19 03:42:41"
"5",NULL,"Spanish Springs","89436","2021-04-19 03:42:49","2021-04-19 03:42:49"
"6",NULL,"Anchorage","99502","2021-04-19 03:42:52","2021-04-19 03:42:52"
"7",NULL,"New York","10002","2021-04-19 03:43:33","2021-04-19 03:43:33"
"8",NULL,"Santee","92071","2021-04-19 03:44:41","2021-04-19 03:44:41"
"9",NULL,"Buena","08310","2021-04-19 03:45:15","2021-04-19 03:45:15"
"10",NULL,"Mountain View","94043","2021-04-19 03:45:24","2021-04-19 03:45:24"
"11",NULL,"Baltimore","21201","2021-04-19 03:45:31","2021-04-19 03:45:31"
"12",NULL,"San Diego","92123","2021-04-19 03:45:39","2021-04-19 03:45:39"
"13",NULL,"Dallas","75209","2021-04-19 03:45:53","2021-04-19 03:45:53"
"14",NULL,"Montclair","91710","2021-04-19 03:46:31","2021-04-19 03:46:31"
"15",NULL,"IND HBR BCH","32937","2021-04-19 03:46:54","2021-04-19 03:46:54"
"16",NULL,"San Antonio","78201","2021-04-19 03:46:57","2021-04-19 03:46:57"
"17",NULL,"Cedar Rapids","52402","2021-04-19 03:47:26","2021-04-19 03:47:26"
"18",NULL,"Littleton","80126","2021-04-19 03:47:47","2021-04-19 03:47:47"
"19",NULL,"Cypress","77433","2021-04-19 03:48:23","2021-04-19 03:48:23"
"20",NULL,"San Diego","92110","2021-04-19 03:48:26","2021-04-19 03:48:26"
"21",NULL,"OLD RVR-WNFRE","77523","2021-04-19 03:48:37","2021-04-19 03:48:37"
"22",NULL,"Duluth","55811","2021-04-19 03:49:05","2021-04-19 03:49:05"
"23",NULL,"San Diego","92116","2021-04-19 03:50:13","2021-04-19 03:50:13"
"24",NULL,"La Costa","92011","2021-04-19 03:51:53","2021-04-19 03:51:53"
"25",NULL,"Ashburn","20147","2021-04-19 03:52:03","2021-04-19 03:52:03"
"26",NULL,"Fremont","94538","2021-04-19 03:52:54","2021-04-19 03:52:54"
"27",NULL,"Framingham","01702","2021-04-19 03:53:05","2021-04-19 03:53:05"
"28",NULL,"Denver","80022","2021-04-19 03:53:32","2021-04-19 03:53:32"
"29",NULL,"Rockwell","28138","2021-04-19 03:53:46","2021-04-19 03:53:46"
"30",NULL,"Brooklyn","11205","2021-04-19 03:53:52","2021-04-19 03:53:52"
"31",NULL,"San Diego","92120","2021-04-19 03:54:01","2021-04-19 03:54:01"
"32",NULL,"Dallas","75234","2021-04-19 03:54:12","2021-04-19 03:54:12"
"33",NULL,"Yucca Valley","92284","2021-04-19 03:54:18","2021-04-19 03:54:18"
"34",NULL,"Battle Creek","49017","2021-04-19 03:54:19","2021-04-19 03:54:19"
"35",NULL,"1820 Ford Ave","0100","2021-04-19 03:54:54","2021-04-19 03:54:54"
"36",NULL,"West Menlo Park","94025","2021-04-19 03:55:03","2021-04-19 03:55:03"
"37",NULL,"Columbus","43231","2021-04-19 03:55:50","2021-04-19 03:55:50"
"38",NULL,"2727 Cr 6000","6000","2021-04-19 03:55:50","2021-04-19 03:55:50"
"39",NULL,"Anaheim","92808","2021-04-19 03:55:54","2021-04-19 03:55:54"
"40",NULL,"Portola Hills","92679","2021-04-19 03:55:56","2021-04-19 03:55:56"
"41",NULL,"San Diego","92115","2021-04-19 03:56:27","2021-04-19 03:56:27"
"42",NULL,"6148 E Shelby Dr","6148","2021-04-19 03:56:32","2021-04-19 03:56:32"
"43",NULL,"Long Beach","90805","2021-04-19 03:57:34","2021-04-19 03:57:34"
"44",NULL,"Punjab 148101","148101","2021-04-19 03:57:38","2021-04-19 03:57:38"
"45",NULL,"Colorado Springs","80923","2021-04-19 03:59:21","2021-04-19 03:59:21"
"46",NULL,"2015 County Rd 1900","2015","2021-04-19 03:59:24","2021-04-19 03:59:24"
"47",NULL,"Telangana 500078","500078","2021-04-19 03:59:26","2021-04-19 03:59:26"
"48",NULL,"Scottsdale","85259","2021-04-19 03:59:50","2021-04-19 03:59:50"
"49",NULL,"San Diego","92111","2021-04-19 04:01:53","2021-04-19 04:01:53"
"50",NULL,"Agawam","01001","2021-04-19 04:02:21","2021-04-19 04:02:21"
"51",NULL,"16400 New Halls Ferry Road","2316","2021-04-19 04:02:50","2021-04-19 04:02:50"
"52",NULL,"Sacramento","95829","2021-04-19 04:02:55","2021-04-19 04:02:55"
"53",NULL,"South St Paul","55075","2021-04-19 04:02:57","2021-04-19 04:02:57"
"54",NULL,"Palmer Lake","80133","2021-04-19 04:04:09","2021-04-19 04:04:09"
"55",NULL,"Seattle","98168","2021-04-19 04:04:25","2021-04-19 04:04:25"
"56",NULL,"The Villages","32159","2021-04-19 04:05:02","2021-04-19 04:05:02"
"57",NULL,"San Diego","92108","2021-04-19 04:05:16","2021-04-19 04:05:16"
"58",NULL,"Castle Rock","80104","2021-04-19 04:06:13","2021-04-19 04:06:13"
"59",NULL,"Winfield","46307","2021-04-19 04:06:16","2021-04-19 04:06:16"
"60",NULL,"Windsor","N8N 1A1","2021-04-19 04:08:19","2021-04-19 04:08:19"
"61",NULL,"San Jose","95125","2021-04-19 04:09:19","2021-04-19 04:09:19"
"62",NULL,"Lockport","14094","2021-04-19 04:09:21","2021-04-19 04:09:21"
"63",NULL,"Chandler","85224","2021-04-19 04:09:52","2021-04-19 04:09:52"
"64",NULL,"Mumbai","400067","2021-04-19 04:10:05","2021-04-19 04:10:05"
"65",NULL,"Detroit","48211","2021-04-19 04:10:39","2021-04-19 04:10:39"
"66",NULL,"San Diego","92117","2021-04-19 04:11:29","2021-04-19 04:11:29"
"67",NULL,"New York","10020","2021-04-19 04:11:32","2021-04-19 04:11:32"
"68",NULL,"Fort Lauderdale","33313","2021-04-19 04:11:47","2021-04-19 04:11:47"
"69",NULL,"Spring Valley","91977","2021-04-19 04:12:04","2021-04-19 04:12:04"
"70",NULL,"Durham","27704","2021-04-19 04:12:08","2021-04-19 04:12:08"
"71",NULL,"Los Angeles","90011","2021-04-19 04:12:32","2021-04-19 04:12:32"
"72",NULL,"Neshkoro","54960","2021-04-19 04:12:51","2021-04-19 04:12:51"
"73",NULL,"6615 Reeds Dr","5000","2021-04-19 04:13:00","2021-04-19 04:13:00"
"74",NULL,"Farmington Hills","48334","2021-04-19 04:13:05","2021-04-19 04:13:05"
"75",NULL,"4113 S Harvard Ave Ste 4113","4113","2021-04-19 04:13:51","2021-04-19 04:13:51"
"76",NULL,"El Cajon","92019","2021-04-19 04:14:45","2021-04-19 04:14:45"
"77",NULL,"Brooklyn","11238","2021-04-19 04:15:46","2021-04-19 04:15:46"
"78",NULL,"Colorado Springs","80917","2021-04-19 04:16:33","2021-04-19 04:16:33"
"79",NULL,"Boston","02215","2021-04-19 04:16:40","2021-04-19 04:16:40"
"80",NULL,"Aurora","80013","2021-04-19 04:17:17","2021-04-19 04:17:17"
"81",NULL,"Ludhiana","141003","2021-04-19 04:17:33","2021-04-19 04:17:33"
"82",NULL,"Colorado Springs","80920","2021-04-19 04:17:37","2021-04-19 04:17:37"
"83",NULL,"La Mesa","91941","2021-04-19 04:17:55","2021-04-19 04:17:55"
"84",NULL,"Newell","26050","2021-04-19 04:18:17","2021-04-19 04:18:17"
"85",NULL,"Clermont","34711","2021-04-19 04:18:33","2021-04-19 04:18:33"
"86",NULL,"Van Nuys","91423","2021-04-19 04:18:53","2021-04-19 04:18:53"
"87",NULL,"Yonkers","10701","2021-04-19 04:19:23","2021-04-19 04:19:23"
"88",NULL,"Arvada","80002","2021-04-19 04:20:21","2021-04-19 04:20:21"
"89",NULL,"3226 PA-10","3226","2021-04-19 04:21:05","2021-04-19 04:21:05"
"90",NULL,"Corona","11368","2021-04-19 04:21:19","2021-04-19 04:21:19"
"91",NULL,"42000 FM 1774","42000","2021-04-19 04:21:27","2021-04-19 04:21:27"
"92",NULL,"Vancouver","V5K 1A1","2021-04-19 04:21:27","2021-04-19 04:21:27"
"93",NULL,"Woodside","11377","2021-04-19 04:21:49","2021-04-19 04:21:49"
"94",NULL,"Washington","47501","2021-04-19 04:24:02","2021-04-19 04:24:02"
"95",NULL,"Reno","89512","2021-04-19 04:24:22","2021-04-19 04:24:22"
"96",NULL,"San Diego","92114","2021-04-19 04:24:40","2021-04-19 04:24:40"
"97",NULL,"Homeland","92548","2021-04-19 04:25:02","2021-04-19 04:25:02"
"98",NULL,"100002 Water Well","100002","2021-04-19 04:25:09","2021-04-19 04:25:09"
"99",NULL,"Washington","20002","2021-04-19 04:25:51","2021-04-19 04:25:51"
"100",NULL,"Auburn","98002","2021-04-19 04:26:07","2021-04-19 04:26:07"
"101",NULL,"San Diego","92105","2021-04-19 04:26:09","2021-04-19 04:26:09"
"102",NULL,"City of Industry","91744","2021-04-19 04:26:16","2021-04-19 04:26:16"
"103",NULL,"Waunakee","53597","2021-04-19 04:26:49","2021-04-19 04:26:49"
"104",NULL,"Morgantown","39483","2021-04-19 04:27:17","2021-04-19 04:27:17"
"105",NULL,"Fredericton","E3A 1A1","2021-04-19 04:27:41","2021-04-19 04:27:41"
"106",NULL,"Cincinnati","45217","2021-04-19 04:29:11","2021-04-19 04:29:11"
"107",NULL,"Miami","33132","2021-04-19 04:29:41","2021-04-19 04:29:41"
"108",NULL,"Denver","80210","2021-04-19 04:30:09","2021-04-19 04:30:09"
"109",NULL,"Piscataway","08854","2021-04-19 04:30:09","2021-04-19 04:30:09"
"110",NULL,"2762 4th Ave S","2762","2021-04-19 04:30:34","2021-04-19 04:30:34"
"111",NULL,"29000 Aurora Rd","29000","2021-04-19 04:31:06","2021-04-19 04:31:06"
"112",NULL,"Bolingbrook","60440","2021-04-19 04:31:18","2021-04-19 04:31:18"
"113",NULL,"Pell City","35128","2021-04-19 04:31:41","2021-04-19 04:31:41"
"114",NULL,"100-0004","100-0004","2021-04-19 04:32:36","2021-04-19 04:32:36"
"115",NULL,"Hidalgo 15","65030","2021-04-19 04:33:04","2021-04-19 04:33:04"
"116",NULL,"San Diego","92107","2021-04-19 04:33:59","2021-04-19 04:33:59"
"117",NULL,"67400 E 150 Rd","67400","2021-04-19 04:34:18","2021-04-19 04:34:18"
"118",NULL,"La Jolla","92037","2021-04-19 04:34:52","2021-04-19 04:34:52"
"119",NULL,"42180 Ford Rd STE 301","42180","2021-04-19 04:34:54","2021-04-19 04:34:54"
"120",NULL,"Mineola","11501","2021-04-19 04:35:12","2021-04-19 04:35:12"
"121",NULL,"Brownwood","76801","2021-04-19 04:35:32","2021-04-19 04:35:32"
"122",NULL,"298 Cherry Ln","WS1","2021-04-19 04:37:02","2021-04-19 04:37:02"
"123",NULL,"Dallas","75225","2021-04-19 04:37:48","2021-04-19 04:37:48"
"124",NULL,"Las Vegas","89107","2021-04-19 04:37:58","2021-04-19 04:37:58"
"125",NULL,"New York","10065","2021-04-19 04:39:48","2021-04-19 04:39:48"
"126",NULL,"San Diego","92109","2021-04-19 04:40:23","2021-04-19 04:40:23"
"127",NULL,"Bountiful","84010","2021-04-19 04:40:40","2021-04-19 04:40:40"
"128",NULL,"Minneapolis","55404","2021-04-19 04:40:57","2021-04-19 04:40:57"
"129",NULL,"908 22000 Rd","22000","2021-04-19 04:41:20","2021-04-19 04:41:20"
"130",NULL,"Yuba City","95993","2021-04-19 04:41:46","2021-04-19 04:41:46"
"131",NULL,"Progreso Lakes","78596","2021-04-19 04:42:00","2021-04-19 04:42:00"
"132",NULL,"Marianna","32446","2021-04-19 04:42:22","2021-04-19 04:42:22"
"133",NULL,"Bellevue","98004","2021-04-19 04:42:28","2021-04-19 04:42:28"
"134",NULL,"Glendale","91210","2021-04-19 04:42:29","2021-04-19 04:42:29"
"135",NULL,"Buena Park","90620","2021-04-19 04:42:53","2021-04-19 04:42:53"
"136",NULL,"4001-A","4001","2021-04-19 04:43:01","2021-04-19 04:43:01"
"137",NULL,"Foster City","94404","2021-04-19 04:43:08","2021-04-19 04:43:08"
"138",NULL,"Sioux Falls","57104","2021-04-19 04:43:55","2021-04-19 04:43:55"
"139",NULL,"Ames","50014","2021-04-19 04:44:46","2021-04-19 04:44:46"
"140",NULL,"San Diego","92104","2021-04-19 04:44:57","2021-04-19 04:44:57"
"141",NULL,"Tamil Nadu 621103","621103","2021-04-19 04:45:09","2021-04-19 04:45:09"
"142",NULL,"Laguna Beach","92656","2021-04-19 04:45:26","2021-04-19 04:45:26"
"143",NULL,"San Diego","92102","2021-04-19 04:46:58","2021-04-19 04:46:58"
"144",NULL,"Toronto","M3H 6A7","2021-04-19 04:47:15","2021-04-19 04:47:15"
